year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
2084,588.44244,4.080878421,5.516349845,0.038630025,0.033698479,-0.186040533,5.702390378
2085,589.74805,4.093488493,5.524131108,0.038630025,0.012051804,-0.178648589,5.702779697
2086,590.95856,4.105159611,5.531196064,0.038630025,0.000103379,-0.171018188,5.702214253
2087,592.0734,4.11589041,5.537491057,0.038630025,-0.000867918,-0.163327183,5.700818239
2088,593.09467,4.125705227,5.542987434,0.038630025,0.000823057,-0.155509293,5.698496727
2089,594.0195,4.134581369,5.547644769,0.038630025,0.017513248,-0.147724025,5.695368793
2090,594.8509,4.142551141,5.551434336,0.038630025,0.045244038,-0.139973634,5.69140797
2091,595.59247,4.149651611,5.55631064,0.038630025,0.065657682,-0.135378066,5.691688706
2092,596.26575,4.156091946,5.560568893,0.038630025,0.092175613,-0.130964558,5.691533451
2093,596.8883,4.162042521,5.564420944,0.038630025,0.081213903,-0.126350996,5.69077194
2094,597.46454,4.167544343,5.568013429,0.038630025,0.058947293,-0.121745704,5.689759133
2095,597.9927,4.172584356,5.571299075,0.038630025,0.04127153,-0.116969513,5.688268588
2096,598.4711,4.177147029,5.574236628,0.038630025,0.020608862,-0.111885086,5.686121714
2097,598.8995,4.181228703,5.576772729,0.038630025,0.013553862,-0.106981656,5.683754385
2098,599.2777,4.184831143,5.578880183,0.038630025,0.006997983,-0.10197642,5.680856603
2099,599.6045,4.187943194,5.580499222,0.038630025,0.016504254,-0.096951715,5.677450937
2100,599.87964,4.190562209,5.581574908,0.038630025,0.038408887,-0.091991695,5.673566603
