,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1886,286.38562,286.59824,286.4848,286.42764,286.5191,286.57895,286.52817,286.58163,286.4517,286.6854,286.54312,286.61066,286.40192,286.56998,286.58585,286.50986,286.64908,286.4464,286.5186,286.5534,286.6508,286.65884,286.61615,286.4288,286.47733,286.56818,286.53003,286.41116,286.22925,286.43634,286.67184,286.59555,286.55292,286.54324,286.41995,286.6076,286.64896,286.41824,286.56348,286.5087,286.54123,286.56494,286.3568,286.45694,286.62033,286.54935,286.37842,286.58414,286.4573,286.39337
1887,286.4052,286.59714,286.6219,286.64264,286.56485,286.48227,286.66788,286.7876,286.42398,286.48972,286.52402,286.6299,286.60538,286.5695,286.55234,286.55722,286.63605,286.64142,286.6296,286.4974,286.44492,286.8481,286.618,286.5068,286.33444,286.62436,286.7675,286.66928,286.45786,286.4633,286.62827,286.54065,286.45737,286.4629,286.48813,286.67444,286.45633,286.44803,286.48413,286.30988,286.52292,286.5195,286.4242,286.52533,286.56943,286.808,286.54196,286.5331,286.45938,286.51718
1888,286.6249,286.54404,286.7391,286.83087,286.72388,286.46112,286.40057,286.7213,286.50525,286.38336,286.64908,286.7603,286.56006,286.56848,286.62085,286.61328,286.67587,286.59842,286.80957,286.5604,286.54483,286.63513,286.5851,286.64688,286.50305,286.61844,286.68018,286.70062,286.64062,286.4562,286.61588,286.52448,286.56168,286.40366,286.38852,286.76382,286.36203,286.59302,286.53842,286.55563,286.64966,286.75647,286.45627,286.64017,286.64706,286.7676,286.63,286.84586,286.58856,286.64355
1889,286.70657,286.58145,286.69885,286.91214,286.6799,286.62878,286.60034,286.588,286.61038,286.43088,286.84122,286.63364,286.4661,286.49326,286.68076,286.60617,286.79562,286.64752,286.64102,286.57852,286.59604,286.55222,286.55118,286.65872,286.51828,286.73895,286.47067,286.74777,286.57565,286.60327,286.70657,286.77304,286.6586,286.60934,286.40152,286.73837,286.37665,286.66635,286.6534,286.5247,286.53238,286.80438,286.55185,286.66812,286.74966,286.7413,286.7223,287.01505,286.7742,286.46237
1890,286.7148,286.67313,286.64267,286.8919,286.74536,286.59583,286.64175,286.69492,286.6987,286.44986,286.81546,286.71463,286.5778,286.58542,286.61166,286.59,286.63303,286.70572,286.44614,286.48123,286.70975,286.46793,286.66684,286.67093,286.50012,286.7722,286.48178,286.65604,286.3596,286.52432,286.66064,286.61343,286.64423,286.53775,286.55203,286.78622,286.7066,286.67056,286.59222,286.74353,286.7918,286.7565,286.6146,286.638,286.62878,286.5569,286.68375,286.6668,286.88443,286.50787
1891,286.7642,286.77176,286.75394,286.63284,286.74072,286.4918,286.58002,286.771,286.6699,286.59183,286.57663,286.67868,286.655,286.6182,286.5498,286.621,286.43954,286.4685,286.417,286.46536,286.72678,286.46768,286.56247,286.6627,286.59433,286.71664,286.47244,286.55637,286.43112,286.42276,286.6213,286.6358,286.62476,286.59058,286.67038,286.66452,286.7255,286.47693,286.6106,286.68753,286.88474,286.66513,286.6421,286.65158,286.57382,286.66086,286.40298,286.46082,286.52176,286.67255
1892,286.61145,286.9208,286.70816,286.65466,286.69412,286.54684,286.66183,286.7078,286.51373,286.68524,286.52368,286.71002,286.64978,286.65805,286.77292,286.7124,286.55023,286.6118,286.57602,286.56485,286.85162,286.5713,286.63318,286.71542,286.66354,286.7287,286.58932,286.71933,286.6146,286.59,286.715,286.54245,286.7071,286.8472,286.6113,286.63876,286.71472,286.58954,286.54373,286.46024,286.83298,286.6012,286.68805,286.73508,286.70767,286.7972,286.40082,286.58615,286.6604,286.71042
1893,286.70334,286.79703,286.81387,286.62018,286.4864,286.69003,286.82614,286.5345,286.58575,286.51672,286.71826,286.72693,286.7576,286.56784,286.91263,286.85727,286.66458,286.60007,286.6674,286.571,286.75858,286.60416,286.669,286.66666,286.4719,286.75433,286.78293,286.72513,286.5787,286.59552,286.7712,286.54953,286.8032,286.7153,286.69388,286.598,286.67984,286.78,286.65933,286.514,286.85693,286.65994,286.61356,286.67374,286.95773,286.81628,286.36234,286.6091,286.48126,286.61365
1894,286.60147,286.63925,286.8261,286.70633,286.66867,286.65195,286.69244,286.61258,286.53442,286.36597,286.6149,286.728,286.67148,286.68283,286.68106,286.6497,286.87088,286.60892,286.73514,286.6607,286.50772,286.82968,286.62134,286.56445,286.66693,286.8599,286.71786,286.66208,286.4448,286.61624,286.8311,286.54977,286.66342,286.54553,286.9788,286.68994,286.87918,286.6326,286.87772,286.53082,286.83148,286.79648,286.77194,286.58047,286.9108,286.88333,286.35565,286.6525,286.5101,286.4347
1895,286.7537,286.61066,286.84506,286.8583,286.70395,286.58862,286.53754,286.63187,286.69495,286.44266,286.66858,286.79227,286.82175,286.69766,286.70624,286.53976,286.95776,286.5496,286.85526,286.84018,286.74063,286.76425,286.8823,286.54663,286.8078,286.8123,286.61282,286.69888,286.59915,286.63705,286.62704,286.58768,286.65,286.659,286.7963,286.72006,286.92627,286.55942,287.03036,286.49625,286.7349,286.6705,286.86322,286.60147,286.69366,286.94214,286.61868,286.71594,286.68808,286.57053
1896,286.81824,286.58667,286.83945,286.80228,286.76862,286.5988,286.6217,286.65353,286.70538,286.62222,286.73608,286.55374,286.7885,286.85086,286.73886,286.69772,286.78775,286.67178,286.93164,286.7103,286.7198,286.81055,286.91797,286.56418,286.7144,286.6741,286.7263,286.73956,286.77,286.63052,286.63443,286.68814,286.61533,286.63437,286.65738,286.6951,286.6271,286.4531,286.69226,286.63937,286.77353,286.71237,286.8994,286.6696,286.5397,286.7524,286.609,286.68283,286.7507,286.5727
1897,286.64554,286.69363,286.78012,286.9326,286.89755,286.62796,286.5505,286.65063,286.65524,286.70016,286.8381,286.71332,286.70212,286.82483,286.82373,286.55698,286.76257,286.83664,286.86838,286.75546,286.6329,286.78354,286.756,286.71854,286.51163,286.71036,286.84695,286.7418,286.8119,286.5965,286.69467,286.83884,286.684,286.54977,286.62552,286.78555,286.5355,286.62875,286.66803,286.6611,286.6852,286.71982,286.93466,286.6592,286.85196,286.6876,286.55405,286.92578,286.6248,286.5612
1898,286.70334,286.70898,286.80948,286.90817,286.83765,286.5947,286.66318,286.71802,286.62363,286.6298,286.65994,286.88376,286.64548,286.67325,286.78467,286.6533,286.69034,286.6621,286.91965,286.90707,286.74478,286.78525,286.6791,286.75302,286.4941,286.75784,286.85104,286.7451,286.8042,286.73117,286.8962,286.63663,286.83664,286.56836,286.5817,286.83847,286.5862,286.868,286.6431,286.68002,286.53433,286.6311,286.98837,286.694,286.86276,286.62585,286.5079,286.9391,286.65405,286.72177
1899,286.72836,286.62064,286.76343,286.79767,286.83182,286.52158,286.8823,286.6988,286.60803,286.70483,286.59573,286.98755,286.6852,286.69724,286.9042,286.78104,286.7302,286.74606,286.71216,286.8106,286.55624,286.85318,286.56094,286.76108,286.53384,286.7905,286.70944,286.8141,286.7341,286.97333,286.91104,286.62485,286.81024,286.67758,286.63486,286.68356,286.66968,286.86978,286.5607,286.80817,286.6583,286.70615,286.5648,286.5839,286.81982,286.6097,286.67697,286.60477,286.80597,286.72964
1900,286.75882,286.70175,286.85294,286.6278,286.8486,286.6842,286.81375,286.54483,286.7573,286.57132,286.6003,286.73486,286.74155,286.78635,286.9402,286.8206,286.7126,286.70975,286.67294,286.68863,286.51624,286.8136,286.6611,286.70724,286.5765,286.7148,286.75653,286.87378,286.63968,286.74908,286.77383,286.67764,286.84116,286.77344,286.65973,286.8764,286.66046,286.5194,286.56042,286.67883,286.5964,286.7101,286.43805,286.70264,286.6466,286.7687,286.79355,286.57956,286.76657,286.46948
1901,286.87546,286.72278,286.83896,286.6487,286.70078,286.678,286.53516,286.73682,286.79962,286.71082,286.73074,286.71872,286.69272,286.8623,287.0007,286.57834,286.65714,286.7737,286.68997,286.7432,286.65332,286.69516,286.62802,286.73557,286.6041,286.71454,286.69684,286.77725,286.71988,286.56186,286.65292,286.82382,286.69705,286.6981,286.71075,286.94244,286.57178,286.52576,286.5731,286.688,286.65527,286.77655,286.44644,286.67245,286.57016,286.843,286.8082,286.67276,286.74875,286.6104
1902,286.80865,286.7338,286.79788,286.81454,286.6013,286.68936,286.51498,286.74997,286.7109,286.70413,286.72485,286.76022,286.69696,286.7186,286.89935,286.51764,286.6674,286.6284,286.71127,286.74557,286.60938,286.52246,286.49988,286.68433,286.52982,286.6634,286.5406,286.71567,286.7917,286.54272,286.6979,286.78156,286.6273,286.60257,286.5206,286.98352,286.70996,286.61154,286.512,286.702,286.76297,286.85025,286.5764,286.42996,286.71692,286.96497,286.7758,286.82883,286.73248,286.88028
1903,286.65323,286.39865,286.749,286.63623,286.63412,286.46518,286.5514,286.50067,286.41367,286.58414,286.44202,286.53928,286.64093,286.5516,286.50018,286.63638,286.67612,286.46597,286.66052,286.58505,286.45047,286.452,286.40094,286.62524,286.43484,286.49396,286.2844,286.51407,286.76517,286.42856,286.66623,286.54745,286.68472,286.43967,286.5979,286.71628,286.5123,286.6208,286.32285,286.47,286.71353,286.57706,286.3057,286.41467,286.56555,286.7584,286.63834,286.66736,286.65677,286.77026
1904,286.57324,286.6701,286.84006,286.6453,286.85828,286.5446,286.64694,286.4628,286.3418,286.76096,286.6436,286.59244,286.70502,286.62256,286.38272,286.60355,286.8236,286.69205,286.66214,286.45932,286.56265,286.5159,286.50253,286.631,286.6431,286.47922,286.75723,286.6718,286.71033,286.42108,286.4578,286.54404,286.63943,286.7445,286.58865,286.62277,286.36182,286.60953,286.5463,286.41782,286.60358,286.62747,286.34494,286.39432,286.49948,286.7214,286.57498,286.68124,286.6438,286.68045
1905,286.71414,286.6634,286.8906,286.6227,286.75748,286.66113,286.7947,286.51993,286.6128,286.8525,286.7954,286.61252,286.6976,286.77005,286.46536,286.62814,286.71033,286.5104,286.8339,286.3954,286.79526,286.6881,286.56198,286.6259,286.73242,286.5892,286.81317,286.6386,286.7233,286.53348,286.61642,286.53143,286.73245,286.84485,286.57977,286.84323,286.34457,286.50116,286.77286,286.62238,286.5614,286.6361,286.60315,286.47397,286.5302,286.46558,286.72412,286.68784,286.44586,286.67947
1906,286.5996,286.76318,286.82788,286.72366,286.71225,286.6443,286.65997,286.51257,286.82114,286.6365,286.68353,286.561,286.67532,286.6544,286.62888,286.64365,286.6802,286.54752,286.8247,286.40866,286.69614,286.8654,286.7238,286.5858,286.45117,286.79532,286.49365,286.58896,286.66605,286.69547,286.7348,286.73578,286.85214,286.6382,286.6173,286.71957,286.5844,286.7758,286.80527,286.6884,286.66568,286.61514,286.76154,286.74814,286.62656,286.57803,286.76297,286.56445,286.42102,286.79208
1907,286.62143,286.67715,286.67285,286.73264,286.61575,286.64185,286.63873,286.49277,286.7401,286.54617,286.64154,286.67862,286.80154,286.52676,286.66843,286.5911,286.67636,286.70126,286.67892,286.4207,286.62167,286.76428,286.7886,286.59567,286.55692,286.92615,286.6107,286.66223,286.80734,286.62152,286.77444,286.84915,286.81274,286.7026,286.48947,286.72586,286.61057,286.87466,286.64102,286.66202,286.7911,286.6445,286.76828,286.81033,286.50955,286.40866,286.72485,286.71127,286.4451,286.73746
1908,286.57712,286.6166,286.7816,286.70737,286.63376,286.83783,286.8426,286.6586,286.64404,286.6503,286.5892,286.73358,286.84225,286.6616,286.72888,286.55502,286.8388,286.97916,286.8422,286.61572,286.61084,286.62988,286.7196,286.66708,286.88684,286.69925,286.9354,286.7354,286.71225,286.57834,286.845,286.69113,286.78717,286.71255,286.66144,286.72635,286.72202,286.66446,286.71872,286.63144,286.77368,286.63058,286.72144,286.84747,286.46634,286.60892,286.73236,286.81564,286.67197,286.6704
1909,286.70135,286.74008,286.76434,286.82257,286.69577,286.8166,286.87653,286.59708,286.5864,286.65842,286.5278,286.71176,286.7023,286.73993,286.8544,286.47693,286.88892,287.01822,286.77017,286.634,286.5616,286.62906,286.75568,286.78403,286.84116,286.5959,286.7393,286.5445,286.61423,286.6119,286.90976,286.66385,286.67264,286.70465,286.8527,286.8228,286.67078,286.65274,286.7837,286.79105,286.79785,286.73083,286.58615,286.79294,286.54935,286.7158,286.7585,286.57278,286.79257,286.6577
